names,year,search_name,sum_by_year
Afghanistan,1981,peacemaking,1
Afghanistan,1997,peacekeeping,1
Afghanistan,1998,conflict prevention,2
Afghanistan,1998,conflict transformation,2
Afghanistan,1998,peacemaking,2
Afghanistan,2005,peacebuilding,1
Afghanistan,2005,peacekeeping,1
Afghanistan,2006,conflict resolution,1
Afghanistan,2007,conflict resolution,1
Afghanistan,2007,peacebuilding,1
Afghanistan,2008,peacekeeping,1
Afghanistan,2009,conflict resolution,1
Afghanistan,2009,peacemaking,1
Afghanistan,2010,conflict prevention,5
Afghanistan,2010,conflict resolution,15
Afghanistan,2010,conflict transformation,5
Afghanistan,2010,peacebuilding,20
Afghanistan,2010,peacekeeping,9
Afghanistan,2010,peacemaking,16
Afghanistan,2011,conflict prevention,4
Afghanistan,2011,conflict resolution,2
Afghanistan,2011,conflict transformation,8
Afghanistan,2011,peacebuilding,10
Afghanistan,2011,peacekeeping,2
Afghanistan,2011,peacemaking,4
Afghanistan,2012,conflict prevention,2
Afghanistan,2012,conflict resolution,3
Afghanistan,2012,conflict transformation,5
Afghanistan,2012,peacebuilding,6
Afghanistan,2012,peacekeeping,9
Afghanistan,2012,peacemaking,4
Afghanistan,2013,conflict prevention,3
Afghanistan,2013,conflict resolution,3
Afghanistan,2013,conflict transformation,3
Afghanistan,2013,peacebuilding,19
Afghanistan,2013,peacekeeping,10
Afghanistan,2013,peacemaking,6
Afghanistan,2014,conflict prevention,3
Afghanistan,2014,conflict resolution,2
Afghanistan,2014,conflict transformation,4
Afghanistan,2014,peacebuilding,7
Afghanistan,2014,peacekeeping,4
Afghanistan,2015,conflict prevention,1
Afghanistan,2015,conflict transformation,1
Afghanistan,2015,peacebuilding,16
Afghanistan,2015,peacekeeping,10
Afghanistan,2015,peacemaking,3
Afghanistan,2016,conflict prevention,2
Afghanistan,2016,conflict resolution,1
Afghanistan,2016,conflict transformation,3
Afghanistan,2016,peacebuilding,14
Afghanistan,2016,peacekeeping,8
Afghanistan,2016,peacemaking,3
Afghanistan,2017,conflict prevention,2
Afghanistan,2017,conflict resolution,3
Afghanistan,2017,conflict transformation,1
Afghanistan,2017,peacebuilding,11
Afghanistan,2017,peacekeeping,6
Afghanistan,2017,peacemaking,1
Afghanistan,2018,conflict prevention,1
Afghanistan,2018,conflict resolution,1
Afghanistan,2018,peacekeeping,5
Albania,2010,conflict prevention,1
Albania,2010,peacemaking,1
Albania,2011,conflict transformation,1
Albania,2012,conflict prevention,1
Albania,2012,conflict resolution,1
Albania,2012,conflict transformation,1
Albania,2012,peacekeeping,1
Albania,2012,peacemaking,1
Albania,2013,conflict transformation,1
Albania,2014,conflict prevention,2
Albania,2014,conflict resolution,3
Albania,2014,conflict transformation,2
Albania,2015,conflict prevention,1
Albania,2015,peacebuilding,2
Albania,2015,peacemaking,1
Albania,2016,peacebuilding,1
Albania,2016,peacekeeping,1
Albania,2016,peacemaking,1
Albania,2017,peacebuilding,2
Albania,2018,peacebuilding,1
Algeria,2003,peacekeeping,1
Algeria,2004,conflict resolution,1
Algeria,2009,conflict resolution,1
Algeria,2009,peacebuilding,1
Algeria,2010,conflict prevention,1
Algeria,2010,conflict resolution,1
Algeria,2012,conflict prevention,1
Algeria,2012,conflict transformation,1
Algeria,2012,peacebuilding,1
Algeria,2012,peacemaking,1
Algeria,2014,peacebuilding,1
Algeria,2014,peacemaking,1
Algeria,2015,peacebuilding,1
Algeria,2017,conflict prevention,1
Algeria,2017,conflict resolution,1
Algeria,2017,conflict transformation,1
Algeria,2017,peacebuilding,1
American Samoa,2018,conflict prevention,1
Angola,2000,peacebuilding,1
Angola,2000,peacekeeping,1
Angola,2000,peacemaking,1
Angola,2002,peacebuilding,1
Angola,2002,peacekeeping,1
Angola,2002,peacemaking,1
Angola,2003,conflict prevention,1
Angola,2003,conflict resolution,1
Angola,2003,conflict transformation,1
Angola,2003,peacebuilding,1
Angola,2004,conflict prevention,2
Angola,2004,conflict resolution,2
Angola,2004,peacebuilding,1
Angola,2005,conflict prevention,1
Angola,2006,conflict prevention,1
Angola,2006,conflict resolution,1
Angola,2006,conflict transformation,1
Angola,2006,peacebuilding,1
Angola,2006,peacekeeping,1
Angola,2006,peacemaking,1
Angola,2008,peacebuilding,1
Angola,2010,conflict prevention,1
Angola,2010,conflict resolution,1
Angola,2011,peacebuilding,1
Angola,2012,peacebuilding,1
Angola,2014,peacebuilding,2
Angola,2014,peacemaking,1
Angola,2015,conflict resolution,1
Angola,2015,conflict transformation,1
Angola,2015,peacebuilding,4
Angola,2017,conflict prevention,1
Angola,2017,conflict resolution,2
Angola,2017,conflict transformation,1
Angola,2017,peacebuilding,1
Argentina,2003,peacekeeping,1
Argentina,2009,conflict resolution,1
Argentina,2009,conflict transformation,1
Argentina,2010,peacebuilding,1
Argentina,2010,peacekeeping,2
Argentina,2010,peacemaking,1
Argentina,2011,peacebuilding,1
Argentina,2011,peacekeeping,1
Argentina,2014,conflict prevention,1
Argentina,2015,peacebuilding,1
Armenia,1989,peacemaking,1
Armenia,1997,peacekeeping,1
Armenia,2010,conflict prevention,1
Armenia,2010,peacekeeping,1
Armenia,2011,conflict prevention,2
Armenia,2011,conflict resolution,3
Armenia,2011,conflict transformation,1
Armenia,2011,peacekeeping,1
Armenia,2011,peacemaking,2
Armenia,2012,conflict prevention,3
Armenia,2012,conflict resolution,3
Armenia,2012,conflict transformation,3
Armenia,2012,peacemaking,1
Armenia,2013,conflict prevention,1
Armenia,2013,conflict resolution,1
Armenia,2013,conflict transformation,1
Armenia,2013,peacebuilding,1
Armenia,2014,conflict prevention,3
Armenia,2014,conflict resolution,2
Armenia,2014,conflict transformation,3
Armenia,2014,peacebuilding,1
Armenia,2015,conflict prevention,2
Armenia,2015,conflict resolution,2
Armenia,2015,conflict transformation,2
Armenia,2015,peacebuilding,2
Armenia,2016,conflict prevention,3
Armenia,2016,conflict resolution,3
Armenia,2016,conflict transformation,4
Armenia,2016,peacebuilding,2
Armenia,2018,conflict prevention,2
Armenia,2018,conflict resolution,1
Armenia,2018,conflict transformation,1
Armenia,2018,peacebuilding,1
Australia,1966,peacemaking,1
Australia,1986,conflict resolution,1
Australia,1988,conflict resolution,1
